title,price,rating,reviews,availability
"SAMSUNG FT45 Series 22-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, DisplayPort, USB Hub, Height Adjustable Stand, 3 Yr WRNTY (LF22T454FQNXGO)",,4.6 out of 5 stars,"1,863 ratings",In Stock
"Samsung Business S24R650FDN SR650 Series 24 inch IPS 1080p 75Hz Computer Monitor for Business with VGA, HDMI, DisplayPort, and USB Hub, 3-Year Warranty, Black",,4.6 out of 5 stars,"1,963 ratings",In Stock
"Acer KC242Y Hbi 23.8"" Full HD (1920 x 1080) Zero-Frame Gaming Office Monitor | AMD FreeSync Technology | 100Hz | 1ms (VRB) | Low Blue Light | Tilt | HDMI & VGA Ports,Black",,4.5 out of 5 stars,"3,654 ratings",In Stock
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",,4.6 out of 5 stars,"41,161 ratings",In Stock
"Sceptre 20"" 1600 x 900 75Hz LED Monitor 2x HDMI VGA Built-in Speakers, sRGB 99% Machine Black (E209W-16003RT series)",,4.5 out of 5 stars,"27,030 ratings",In Stock
"Packard Bell 21 Inch Monitor FHD 1920 x 1080 Computer Monitor, 75 Hz, 5 Milliseconds, Dual Monitor, Ultrawide Monitor, VESA Mount, Tilt, VGA and HDMI Monitor, Basic Monitor and Gaming Monitor – 2 Pack",,4.3 out of 5 stars,90 ratings,
"KOORUI 24 Inch Computer Monitor -FHD 1080P Gaming Monitor 165Hz VA 1ms Build-in FreeSync, Compatible G-sync, LED Monitors with Ultra-Thin, HDMI X2 /DP, VESA Compatible, Eye Care 24E4",,4.5 out of 5 stars,399 ratings,In Stock
"KOORUI 24"" Gaming Monitor 165Hz, 1080p, 1ms, IPS, 99% sRGB Color Gamut, Compatible FreeSync, Ultra Slim Frame, VESA Mountable (FHD 1920x1080, HDMI, DisplayPort) Black",,4.3 out of 5 stars,"3,745 ratings",In Stock
"Norcent 24 Inch Computer Frameless Monitor, 75Hz Full HD 1920 x 1080P IPS LED Display, HDMI VGA Port, 178 Degree Viewing Angle Blue Light Filter Function, 100x100mm VESA Mountable, MN24-H",,4.6 out of 5 stars,111 ratings,In Stock
"BenQ GW2780 Computer Monitor 27"" FHD 1920x1080p | IPS | Eye-Care Tech | Low Blue Light | Anti-Glare | Adaptive Brightness | Tilt Screen | Built-In Speakers | DisplayPort | HDMI | VGA",,4.7 out of 5 stars,"17,213 ratings",In Stock
"Dell P2419H 24 Inch LED-Backlit, Anti-Glare, 3H Hard Coating IPS Monitor - (8 ms Response, FHD 1920 x 1080 at 60Hz, 1000:1 Contrast, with ComfortView DisplayPort, VGA, HDMI and USB), Black",,4.7 out of 5 stars,"7,153 ratings",
"BenQ GL2480 Gaming Monitor 24"" FHD 1920x1080p 75Hz 1ms Fast Response Time | TN | Eye-Care Tech | Low Blue Light | Adaptive Brightness | Anti-Glare | HDMI | Tilt Screen | Headphone Jack,Black",,4.6 out of 5 stars,"6,660 ratings",
"ASUS VA27EHE 27” Eye Care Monitor Full HD (1920 x 1080) IPS 75Hz Adaptive-Sync HDMI D-Sub Frameless,Black",,4.6 out of 5 stars,"3,246 ratings",In Stock
"ASUS 23.8”1080P Monitor(VA24DQSB)-Full HD,IPS,75Hz,Speakers Adaptive-Sync Low Blue Light Flicker Free VESA Mountable Frameless, HDMI DisplayPort, VGA, USB hub Height Adjustable, BLACK,12.8""x21.3""x2.1""",,4.6 out of 5 stars,"2,703 ratings",In Stock
"ASUS 27” 1080P Monitor (VA27DQ) - Full HD, IPS, 75Hz, Speakers, Adaptive-sync/FreeSync™, Low Blue Light, Flicker Free, VESA Mountable, Frameless, HDMI, VGA, DisplayPort, Tilt Adjustable, BLACK",,4.7 out of 5 stars,"2,094 ratings",In Stock
"SAMSUNG FT45 Series 24-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, USB Hub, Height Adjustable Stand, 3 Yr WRNTY (LF24T452FQNXGO)",,4.6 out of 5 stars,"1,863 ratings",In Stock
